rank,name,totalCalories,count,avgCalories,pct,runningPct
1,"Mixed Nuts, Dry Roasted",16577,58,286,14.73,14.73
2,Ben and Jerry's Ice Cream,9126,7,1304,8.11,22.84
3,Date,9034,79,114,8.03,30.87
4,Salami,8680,42,207,7.71,38.58
5,Havarti Cheese,6521,35,186,5.79,44.38
6,Sunflower Seed Butter,6200,23,270,5.51,49.89
7,PB acai Bowl,5198,10,520,4.62,54.51
8,Greek Yogurt: Vanilla - Oikos Triple Zero,4327,23,188,3.85,58.35
9,Greek Yogurt,4308,17,253,3.83,62.18
10,Salmon,3942,12,329,3.5,65.68
11,Whole Wheat Pasta,3890,12,324,3.46,69.14
12,Chicken,3743,19,197,3.33,72.46
13,Dark Chocolate Almonds,3605,21,172,3.2,75.67
14,Hummus,3481,24,145,3.09,78.76
15,Grapes,3286,18,183,2.92,81.68
16,Vermicelli Bowl,3096,6,516,2.75,84.43
17,Brown Rice,2934,9,326,2.61,87.04
18,Protein Powder,2723,13,209,2.42,89.46
19,Cheese,1916,8,240,1.7,91.16
20,Strawberries,1615,18,90,1.44,92.6
