rank,name,totalCalories,count,avgCalories,pct,runningPct
1,Peanut Butter,15711,67,234,14.01,14.01
2,Bison Quinoa Bowl,13440,32,420,11.98,25.99
3,Protein Powder,9976,64,156,8.9,34.89
4,Hard Boiled Egg,8378,49,171,7.47,42.36
5,Chicken Buritto Bowl,7770,21,370,6.93,49.29
6,PB acai Bowl,6188,10,619,5.52,54.8
7,Banana,5776,48,120,5.15,59.95
8,Almond Crusted Salmon,5460,13,420,4.87,64.82
9,Grapes,5174,31,167,4.61,69.44
10,Cod Picatta,4000,10,400,3.57,73
11,Strawberries,3883,42,92,3.46,76.47
12,Greek Yogurt,3713,18,206,3.31,79.78
13,Cherries,2858,16,179,2.55,82.32
14,Turkey  Chili Snapkitchen,2800,8,350,2.5,84.82
15,Fruit Yogurt,2758,14,197,2.46,87.28
16,Pineapple,2222,18,123,1.98,89.26
17,Grilled Chicken,1963,9,218,1.75,91.01
18,Snapkitchen Jerk Chicken,1850,5,370,1.65,92.66
19,Blueberries,1750,21,83,1.56,94.22
20,White Rice,1427,5,285,1.27,95.49
