rank,name,totalCalories,count,avgCalories,pct,runningPct
1,Peanut Butter,33398,130,257,23.87,23.87
2,Date,14750,127,116,10.54,34.41
3,Ben and Jerry's Ice Cream,9113,8,1139,6.51,40.92
4,Salami,7930,32,248,5.67,46.58
5,Bibimbap,6478,5,1296,4.63,51.21
6,Ice Cream,5501,5,1100,3.93,55.14
7,Bison Quinoa Bowl,5040,12,420,3.6,58.75
8,Protein Powder,4828,35,138,3.45,62.2
9,Chicken Buritto Bowl,4810,13,370,3.44,65.63
10,Havarti Cheese,4680,28,167,3.34,68.98
11,Mojo Chicken,4410,9,490,3.15,72.13
12,Turkey  Chili Snapkitchen,3850,11,350,2.75,74.88
13,Greek Yogurt: Vanilla - Oikos Triple Zero,3813,26,147,2.72,77.6
14,Almond Crusted Salmon,3360,8,420,2.4,80.01
15,Grapes,3286,17,193,2.35,82.35
16,Turkey Chili Bowl,3150,7,450,2.25,84.6
17,Oven-Baked Chicken Florentine,3080,7,440,2.2,86.81
18,Steak peppercorn,3000,6,500,2.14,88.95
19,Banana,2678,29,92,1.91,90.86
20,Strawberries,2359,23,103,1.69,92.55
