rank,name,totalCalories,count,avgCalories,pct,runningPct
1,"Mixed Nuts, Dry Roasted",26950,96,281,18.24,18.24
2,Greek Yogurt,12537,45,279,8.48,26.72
3,Date,9873,110,90,6.68,33.4
4,Salami,9484,59,161,6.42,39.82
5,Ben and Jerry's Ice Cream,8979,8,1122,6.08,45.9
6,Grapes,8333,45,185,5.64,51.53
7,Fried Egg,8197,39,210,5.55,57.08
8,Avocado Oil,7420,53,140,5.02,62.1
9,Havarti Cheese,6731,59,114,4.55,66.66
10,Greek Yogurt: Vanilla - Oikos Triple Zero,6600,29,228,4.47,71.12
11,Salmon,4073,13,313,2.76,73.88
12,Pizza,3547,6,591,2.4,76.28
13,Grilled Chicken,3241,12,270,2.19,78.47
14,Ground Beef,3200,10,320,2.17,80.64
15,Shrimp,3135,11,285,2.12,82.76
16,Strawberries,2903,34,85,1.96,84.72
17,PB acai Bowl,2475,5,495,1.67,86.4
18,Sunflower Seed Butter,2350,11,214,1.59,87.99
19,Apple,2271,24,95,1.54,89.53
20,Lamb Kabob With Vegetables,2182,7,312,1.48,91
